LocusTag	CycId
YALI0E28897g	G1FV3-25313-MONOMER
YALI0C04257g	G1FV3-28469-MONOMER
YALI0A02156g	G1FV3-30507-MONOMER
YALI0F07106g	G1FV3-25942-MONOMER
YALI0E04873g	G1FV3-24233-MONOMER
YALI0F29491g	G1FV3-26939-MONOMER
YALI0C16775g	G1FV3-29022-MONOMER
YALI0B11836g	G1FV3-29884-MONOMER
YALI0D21384g	G1FV3-28015-MONOMER
YALI0D23771g	G1FV3-28123-MONOMER
YALI0B15796g	G1FV3-30063-MONOMER
YALI0E03366g	G1FV3-24164-MONOMER
YALI0A10296g	G1FV3-30849-MONOMER
YALI0E14256g	G1FV3-24651-MONOMER
YALI0D11660g	G1FV3-27586-MONOMER
YALI0D02365g	G1FV3-27162-MONOMER
YALI0E17897g	G1FV3-24812-MONOMER
YALI0D22847g	G1FV3-28080-MONOMER
YALI0E22528r	G1FV3-25018-MONOMER
YALI0B22242g	G1FV3-30357-MONOMER
YALI0B16192g	G1FV3-30081-MONOMER
YALI0C09526g	G1FV3-28707-MONOMER
YALI0E02420g	G1FV3-24123-MONOMER
YALI0A17556g	G1FV3-31143-MONOMER
YALI0E09757g	G1FV3-24446-MONOMER
YALI0D11682g	G1FV3-27587-MONOMER
YALI0E21505g	G1FV3-24973-MONOMER
YALI0F19822g	G1FV3-26515-MONOMER
YALI0A05489r	G1FV3-30645-MONOMER
YALI0D05203g	G1FV3-27285-MONOMER
YALI0A08492r	G1FV3-30768-MONOMER
YALI0B04070g	G1FV3-29541-MONOMER
YALI0C15114g	G1FV3-28946-MONOMER
YALI0A02178g	G1FV3-30508-MONOMER
YALI0F29513g	G1FV3-26940-MONOMER
YALI0E06677g	G1FV3-24312-MONOMER
YALI0E24519g	G1FV3-25113-MONOMER
YALI0B11858g	G1FV3-29885-MONOMER
YALI0A09152r	G1FV3-30796-MONOMER
YALI0A15125g	G1FV3-31041-MONOMER
YALI0C20060g	G1FV3-29166-MONOMER
YALI0B23452g	G1FV3-30413-MONOMER
YALI0E20889g	G1FV3-24946-MONOMER
YALI0F23067g	G1FV3-26659-MONOMER
YALI0D02387g	G1FV3-27163-MONOMER
YALI0D18744g	G1FV3-27894-MONOMER
YALI0B07601g	G1FV3-29698-MONOMER
YALI0B19382g	G1FV3-30227-MONOMER
YALI0E07832g	G1FV3-24359-MONOMER
YALI0E12859g	G1FV3-24590-MONOMER
YALI0B14575g	G1FV3-30006-MONOMER
YALI0F15961g	G1FV3-26339-MONOMER
YALI0C01089g	G1FV3-28330-MONOMER
YALI0E19855r	G1FV3-24901-MONOMER
YALI0A03751g	G1FV3-30572-MONOMER
YALI0E15796g	G1FV3-24721-MONOMER
YALI0E17171g	G1FV3-24780-MONOMER
YALI0F05742g	G1FV3-25875-MONOMER
YALI0C09570g	G1FV3-28709-MONOMER
YALI0F25135g	G1FV3-26750-MONOMER
YALI0A01155g	G1FV3-30465-MONOMER
YALI0A08536g	G1FV3-30769-MONOMER
YALI0D09064g	G1FV3-27463-MONOMER
YALI0B04092g	G1FV3-29542-MONOMER
YALI0F29535r	G1FV3-26941-MONOMER
YALI0D06479g	G1FV3-27344-MONOMER
YALI0E28919g	G1FV3-25314-MONOMER
YALI0B02852g	G1FV3-29492-MONOMER
YALI0E03388g	G1FV3-24165-MONOMER
YALI0D23793g	G1FV3-28124-MONOMER
YALI0E14278r	G1FV3-24652-MONOMER
YALI0D11704g	G1FV3-27588-MONOMER
YALI0C01309g	G1FV3-28339-MONOMER
YALI0F01628g	G1FV3-25686-MONOMER
YALI0F21813g	G1FV3-26605-MONOMER
YALI0E34551g	G1FV3-25585-MONOMER
YALI0E02442g	G1FV3-24124-MONOMER
YALI0D25586g	G1FV3-28204-MONOMER
YALI0C09592g	G1FV3-28710-MONOMER
YALI0A04675g	G1FV3-30612-MONOMER
YALI0A20636g	G1FV3-31277-MONOMER
YALI0A00212g	G1FV3-30422-MONOMER
YALI0B21890g	G1FV3-30341-MONOMER
YALI0D11726g	G1FV3-27589-MONOMER
YALI0F12045g	G1FV3-26160-MONOMER
YALI0A13871r	G1FV3-30993-MONOMER
YALI0F19844g	G1FV3-26516-MONOMER
