LocusTag	CycId
Lipst1_1_253934	G1IA6-18858-MONOMER
Lipst1_1_75453	G1IA6-23527-MONOMER
Lipst1_1_278062	G1IA6-19933-MONOMER
Lipst1_1_278177	G1IA6-19934-MONOMER
Lipst1_1_75456	G1IA6-23528-MONOMER
Lipst1_1_72679	G1IA6-21353-MONOMER
Lipst1_1_253971	G1IA6-18859-MONOMER
Lipst1_1_70541	G1IA6-19723-MONOMER
Lipst1_1_75459	G1IA6-23529-MONOMER
Lipst1_1_278185	G1IA6-19935-MONOMER
Lipst1_1_104346	G1IA6-19276-MONOMER
Lipst1_1_85639	G1IA6-22258-MONOMER
Lipst1_1_278215	G1IA6-19936-MONOMER
Lipst1_1_75460	G1IA6-23530-MONOMER
Lipst1_1_2540	G1IA6-18860-MONOMER
Lipst1_1_260709	G1IA6-19310-MONOMER
Lipst1_1_278253	G1IA6-19937-MONOMER
Lipst1_1_75469	G1IA6-23531-MONOMER
Lipst1_1_306841	G1IA6-20565-MONOMER
Lipst1_1_52540	G1IA6-19640-MONOMER
Lipst1_1_75471	G1IA6-23532-MONOMER
Lipst1_1_72685	G1IA6-21354-MONOMER
Lipst1_1_2543	G1IA6-18861-MONOMER
Lipst1_1_27831	G1IA6-19939-MONOMER
Lipst1_1_75472	G1IA6-23533-MONOMER
Lipst1_1_278411	G1IA6-19940-MONOMER
Lipst1_1_85650	G1IA6-22259-MONOMER
Lipst1_1_75474	G1IA6-23534-MONOMER
Lipst1_1_278516	G1IA6-19941-MONOMER
Lipst1_1_254334	G1IA6-18862-MONOMER
Lipst1_1_278622	G1IA6-19942-MONOMER
Lipst1_1_306882	G1IA6-20566-MONOMER
Lipst1_1_75475	G1IA6-23535-MONOMER
Lipst1_1_5671	G1IA6-22481-MONOMER
Lipst1_1_3314	G1IA6-20079-MONOMER
Lipst1_1_278812	G1IA6-19943-MONOMER
Lipst1_1_254348	G1IA6-18863-MONOMER
Lipst1_1_278846	G1IA6-19944-MONOMER
Lipst1_1_75478	G1IA6-23537-MONOMER
Lipst1_1_2966	G1IA6-19508-MONOMER
Lipst1_1_75479	G1IA6-23538-MONOMER
Lipst1_1_279016	G1IA6-19946-MONOMER
Lipst1_1_75555	G1IA6-23562-MONOMER
Lipst1_1_307150	G1IA6-20567-MONOMER
Lipst1_1_279116	G1IA6-19947-MONOMER
Lipst1_1_75481	G1IA6-23540-MONOMER
Lipst1_1_254590	G1IA6-18865-MONOMER
Lipst1_1_279312	G1IA6-19949-MONOMER
Lipst1_1_75484	G1IA6-23541-MONOMER
Lipst1_1_52332	G1IA6-19637-MONOMER
Lipst1_1_97553	G1IA6-22261-MONOMER
Lipst1_1_75495	G1IA6-23542-MONOMER
Lipst1_1_254746	G1IA6-18866-MONOMER
Lipst1_1_279869	G1IA6-19951-MONOMER
Lipst1_1_75498	G1IA6-23543-MONOMER
Lipst1_1_307714	G1IA6-20569-MONOMER
Lipst1_1_265061	G1IA6-19336-MONOMER
Lipst1_1_280226	G1IA6-19952-MONOMER
Lipst1_1_75499	G1IA6-23544-MONOMER
Lipst1_1_72689	G1IA6-21355-MONOMER
Lipst1_1_254773	G1IA6-18867-MONOMER
Lipst1_1_62120	G1IA6-19013-MONOMER
Lipst1_1_281137	G1IA6-19953-MONOMER
Lipst1_1_75503	G1IA6-23545-MONOMER
Lipst1_1_281285	G1IA6-19954-MONOMER
Lipst1_1_75505	G1IA6-23546-MONOMER
Lipst1_1_254808	G1IA6-18868-MONOMER
Lipst1_1_281305	G1IA6-19955-MONOMER
Lipst1_1_75506	G1IA6-23547-MONOMER
Lipst1_1_281312	G1IA6-19956-MONOMER
Lipst1_1_75514	G1IA6-23548-MONOMER
Lipst1_1_72690	G1IA6-21356-MONOMER
Lipst1_1_254902	G1IA6-18869-MONOMER
Lipst1_1_281435	G1IA6-19957-MONOMER
Lipst1_1_75516	G1IA6-23549-MONOMER
Lipst1_1_97776	G1IA6-22263-MONOMER
Lipst1_1_281537	G1IA6-19958-MONOMER
Lipst1_1_75520	G1IA6-23550-MONOMER
Lipst1_1_281579	G1IA6-19959-MONOMER
Lipst1_1_103965	G1IA6-19256-MONOMER
Lipst1_1_308194	G1IA6-20570-MONOMER
Lipst1_1_75523	G1IA6-23551-MONOMER
Lipst1_1_281704	G1IA6-19960-MONOMER
Lipst1_1_103968	G1IA6-19257-MONOMER
Lipst1_1_97886	G1IA6-22264-MONOMER
Lipst1_1_281757	G1IA6-19961-MONOMER
Lipst1_1_255247	G1IA6-18871-MONOMER
Lipst1_1_281983	G1IA6-19962-MONOMER
Lipst1_1_75525	G1IA6-23552-MONOMER
Lipst1_1_273165	G1IA6-19413-MONOMER
Lipst1_1_255474	G1IA6-18872-MONOMER
Lipst1_1_282625	G1IA6-19964-MONOMER
Lipst1_1_75528	G1IA6-23553-MONOMER
Lipst1_1_308475	G1IA6-20571-MONOMER
Lipst1_1_98006	G1IA6-22265-MONOMER
Lipst1_1_282760	G1IA6-19965-MONOMER
Lipst1_1_75530	G1IA6-23554-MONOMER
Lipst1_1_5675	G1IA6-22483-MONOMER
Lipst1_1_255545	G1IA6-18873-MONOMER
Lipst1_1_282770	G1IA6-19966-MONOMER
Lipst1_1_333488	G1IA6-24572-MONOMER
Lipst1_1_75541	G1IA6-23555-MONOMER
Lipst1_1_283100	G1IA6-19967-MONOMER
Lipst1_1_75544	G1IA6-23556-MONOMER
Lipst1_1_255632	G1IA6-18874-MONOMER
Lipst1_1_283125	G1IA6-19968-MONOMER
Lipst1_1_104010	G1IA6-19260-MONOMER
Lipst1_1_70225	G1IA6-19201-MONOMER
Lipst1_1_75547	G1IA6-23557-MONOMER
Lipst1_1_308673	G1IA6-20572-MONOMER
Lipst1_1_283133	G1IA6-19969-MONOMER
Lipst1_1_75548	G1IA6-23558-MONOMER
Lipst1_1_255730	G1IA6-18875-MONOMER
Lipst1_1_72693	G1IA6-21357-MONOMER
Lipst1_1_104077	G1IA6-19261-MONOMER
Lipst1_1_283223	G1IA6-19970-MONOMER
Lipst1_1_75550	G1IA6-23559-MONOMER
Lipst1_1_283295	G1IA6-19971-MONOMER
Lipst1_1_75552	G1IA6-23560-MONOMER
Lipst1_1_38761	G1IA6-18955-MONOMER
Lipst1_1_2558	G1IA6-18876-MONOMER
