PlateType,Experiment,Well,Row,Column,Compound,SigGrowth?,,,,,,,,,
PM4A,Sulfur,G12,7,12,L-Methionine Sulfone,FALSE,,,,,,,,,
PM4A,Sulfur,H1,8,1,L-Djenkolic Acid,FALSE,,,,,,,,,
PM4A,Sulfur,H2,8,2,Thiourea,FALSE,,,,,,,,,
PM4A,Sulfur,H3,8,3,1-Thio-b-DGlucose,FALSE,,,,,,,,,
PM4A,Sulfur,H4,8,4,"D,L-Lipoamide",FALSE,,,,,,,,,
PM4A,Sulfur,H5,8,5,Taurocholic Acid,FALSE,,,,,,,,,
PM4A,Sulfur,H6,8,6,Taurine,FALSE,,,,,,,,,
PM4A,Sulfur,H7,8,7,Hypotaurine,FALSE,,,,,,,,,
PM4A,Sulfur,H8,8,8,p-Amino Benzene Sulfonic Acid,TRUE,,,,,,,,,
PM4A,Sulfur,H9,8,9,Butane Sulfonic Acid,TRUE,,,,,,,,,
PM4A,Sulfur,H10,8,10,2-Hydroxyethane Sulfonic Acid,FALSE,,,,,,,,,
PM4A,Sulfur,H11,8,11,Methane Sulfonic Acid,FALSE,,,,,,,,,
PM4A,Sulfur,H12,8,12,Tetramethylene Sulfone,FALSE,,,,,,,,,
