,fluxes
SAM24MTer,0.0005415862693471295
BACCL,0.0
DUTUP,0.0
GTHOr,0.0
MTHFD,0.038943296181791015
ATP2tp_H,0.0
GLUDC,0.0
METt2r,0.0
HBCO_nadp,0.0
VALTAm,0.0
GTHRDt2,0.0
METSOXR1,0.0
PLDn_LS,0.0
NAPRTm,0.0
FACOAL260p,0.0
PYDXNK,8.545076716904238e-05
ALCD2y,1.035794998398102
IG3PS,0.005538388734838972
AGATer_LS,0.019857265502997688
DCTPD,0.0
CYTDt2,0.0
UPPRT,0.0
ECOAH12m,0.01250814328236231
LCYSTCBOXL,0.0
DHAK,0.0
GRTT,0.0022371005967458577
ILETRS,0.018126756881382464
IPCS124g_LS,0.0
UREASE,0.0
PTE9m,0.0
TYRTA,-0.006979218383953684
GLCP,0.0
PYRDC,0.09518295245548256
PINOSer_LS,0.0003770366867657788
NNDPR,0.00010324023054221129
MIPC124PLCg_LS,0.0
PIt2m,10.58836544792288
PYDXO_1,0.0
RBFSa,0.0002135962464340313
PMANM,-0.049561506301021734
METTRS,0.005844158415509278
NADS1,0.00010324023054221129
PSERDg_LS,0.0
GLYOX,0.0
D_LACDcm,0.0
ACOAO5p,0.0
ALASm,0.00033910397768159816
ALCD24xi,0.0
NDP3g,0.0
DAGPYPer_LS,0.016338256426517084
SPMDt3i,0.0
3MOBDC,0.0
DAGKer_LS,0.0
MDHm,0.9678637994003718
SERTRS,0.03604380954841139
TALA,0.0
ALCD25xi,0.0
GAPD,1.5017099479032303
APCPT,0.0
OCBTm,0.0
C5STDSer,0.0005415862693471295
CITtcm,0.0
13GS,0.058736023306455436
SHCHD2,0.0
GALKr,0.0
PTE9x,0.0
TMDPK,8.545076716904238e-05
CERH126er,0.0
ACONTam,-0.4804497829958125
DCTUP,0.0
MIPC324PLCg_LS,0.0
GLYCTO1p,0.00023936029683675752
FECOSTESTH_LS,0.0
HACD7p,0.0
THRt2r,0.0
ETF,0.0
NP1,0.0
PTPATi,4.723409240493803e-05
IGPS,0.043191617193733205
ALDD20x,0.0
LYSt6,0.0
METS,0.011302418421711797
CYSTL,0.0
PI35BP5Per_LS,0.0
NADK,4.876766683338182e-05
NTD2,0.0
MIPCS226g_LS,0.0
CDPDGPm_LS,9.87477036767516e-05
HISTP,0.005538388734838972
FACOAL161p,0.0
GK1,0.005131741452148286
EPISTATer_LS,0.0
ACHLE2,0.0
ACACT6p,0.0
GMPS2,0.0
ADCS,0.00028475409992727535
IMPD,0.005131741452148286
TRPTA,0.0
COAHLp,0.0
LANOSTESTH_LS,0.0
ORNTACim,0.01337293611296445
VALt2r,0.0
C24STRer,0.0005415862693471295
ASNt7,0.0
YUMPS,0.0
PCDAGATer_LS,0.0
IPC226PLCg_LS,0.0
FAS140COA,0.05716127529160385
ACLSm,0.06341690825435317
G6PDH2r,0.202949159516436
PIN3Kn_LS,0.0
PSPHSer,0.0009289465796791141
PDHm,0.9281159923017132
NH4t,0.5181829330046358
GLUCYS,0.00011777851612674902
ALATRS,0.040892321798939896
PPPGOm,2.1193998605099885e-05
DCMPDA,-0.0002842138453096323
GLNTRS,0.01036590553750744
AMPDA,0.0
OCBT,0.012729386939690637
ACACT1r,0.00711984601805223
ADEt2,0.0
TREH,0.0
GLUt2r,0.0
FECOSTt,0.0
BFFS,0.0
TRIGSer_LS,0.016338256426517084
DDPAm,0.0
GBEZ,0.0
HPROb,0.0
TMPPP,8.545076716904238e-05
TKT1,0.050995791877013225
FBA,0.6725551427704621
DB4PS,0.0002135962464340313
ARGSS,0.012729386939690637
DHQS,0.019390643343464742
LEUt2r,0.0
PSCVT,0.019390643343464742
ECOAH6p,0.0
CTPS1,0.004082678923195441
LANOSTATer_LS,0.0
MIP2C226PLCg_LS,0.0
HACD5p,0.0
ACGAM6PS,0.0019019390065155486
GTHS,0.00011777851612674902
GUACYC,0.0
GLUt7m,0.0
PRASCSi,0.010541454965269313
UTUP,0.0
PPND2,0.006979218383953684
PRAGSr,0.010541454965269313
FAS120COA,0.05716127529160385
G5SD,0.01873872333225921
MTRI,0.0002433475903514653
CYSS,0.0
GLCS2,0.0317798948287858
HISt2r,0.0
ATHRDHr,0.0
DOLPMTcer,0.049561506301021734
PEPAT,0.0
CYSTA,0.0
PROt2r,0.0
ACOAD9m,0.01250814328236231
DROPPRx,0.0
PDXPP,0.0
G12MT1g,0.0
PPAm,0.09597657891477342
AIRCr,0.010541454965269313
LEUTRSm,0.0
GLYK,0.0
GTHOm,0.0
CSNATm,0.0
NTPP10,0.0
PUNP2,0.0
HEMEOSm,4.238799721019977e-05
PIN4Kn_LS,0.0
ADSL2r,0.010541454965269313
NDPK5,0.0002495623783830631
ALAt2r,0.0
CSNt2,0.0
GLYCDy,0.0
GLNt6,0.0
DHAD1m,0.06341690825435317
HCO3E,0.6646310808804113
FKYNH,0.040892321798939896
UMPKn,0.0
FACOAL120p,0.0
MI1345PKn,0.0
PUNP5,0.0
ARGTRS,0.012729386939690637
HSDxi,0.04448981663647626
TYRTAip,0.0
GLYGS,0.0
FBA2,0.0
ASNTRSm,0.0
H2Ot,-4.015464905325828
ASPt7,0.0
ADPRDP,0.0
PRFGS,0.010541454965269313
AMAOTrm,0.00014832731874712452
ILETAm,0.026597544901693786
PSERSer_LS,0.002890614598537638
NTRLASE,0.0
PHEt2r,0.0
UAGDP,0.0
ACACT9p,0.0
MIPCS324g_LS,0.0
AHSERL2,0.010006160548391017
ASNS1,0.0
EPISTESTH_LS,0.0
MTHFR2,0.011381121461394412
AGTi,0.0
3DSPHRer,0.0009289465796791141
PIN4Ker_LS,0.0
PYDXNO,8.545076716904238e-05
FRTT,0.0
PNTOt2,0.0
DPR,4.723409240493803e-05
SBTD_D2,0.0
SERD_L,0.0
FALDH2,0.0
LYSt2r,0.0
TRE6PP,0.001433708061934572
ADMDC,0.0002433475903514653
NDPK8,0.000312671138096478
TYRt2r,0.0
ALCD19y,0.0
MIPC226PLCg_LS,0.0
FRUt2,0.0
ALCD22xi,0.0
ADSS,0.01094810224796
ARAB14LO,0.0
PETOHMer_LS,0.0015440550029455706
GTHPi,0.0
THMt2,0.0
UPP3MT,0.0
RPI,-0.12013462285944024
MIP2C126PLCg_LS,0.0
LSERDHr,0.0
HETZK,0.0
UPP3S,4.238799721019977e-05
GLCGSD,0.0
TMDS,0.00032200728462591634
XYLTD_D,0.0
VALTRS,0.024548589363400743
URIK1,0.0
ERGSTATer_LS,8.977063970613782e-05
PYAM5PO,0.0
NADH2_u9m1,0.0
IPMD,0.026312941516185174
IPC326PLCg_LS,0.0
CHTNS,0.0019019390065155486
PTE2x,0.0
MIPCS224g_LS,0.0
MANt2,0.0
RNDR1,0.000312671138096478
ACACT10m,0.0
SADT,0.0
NTD4,0.0
LPPer_LS,0.0
MDRPD,0.0002433475903514653
CLPNSm_LS,9.87477036767516e-05
THRA,0.0
FAS160COA,0.05716127529160385
AASAD1,0.014992594537322075
HACONTbm,0.014992594537322075
UTCY,0.0
ADCL,0.00028475409992727535
MMSAD3m,0.01250814328236231
GNK,0.0
THRA2,0.0
SQLErx,0.001097356299767829
NDPK4,0.00032200728462591634
PRAIS,0.010541454965269313
ACSm,0.09518295245548256
GND,0.202949159516436
SULR,0.010006160548391017
CHLt2,0.0
CERS326er,0.0
PUNP1m,0.0
FACOAL181,0.0
AMID3,0.0
FMETTRSm,0.0
CATp,0.00011968014841837876
LEUt6,0.0
MI4PP,0.0
FADFMNtm,0.0
SBPP1er,0.0
ACHLE3,0.0
PDE2,0.0
GUAt2r,0.0
GLUt7,0.0
PUNP1,-0.0002433475903514653
EPISTt,0.0
SACCD1,0.014992594537322075
IPPMIb,-0.026312941516185174
C8STIer,0.0005415862693471295
IPC126PLCg_LS,0.0
PLBP1Ie_LS,0.0
APNPT,0.0
PGK,-1.5017099479032303
CTPtm,0.00015510741014330344
ORNTArm,0.0
PUNP7,0.0
ARGTRSm,0.0
ADNK1,0.00555328027780686
CYTK1,0.0034651466926569198
FACOAL160,0.0
RNDR4,0.0006062211299355486
MALT,0.0
ACS2,0.0
CTPS2,0.0
ORNt2r,0.0
ACONTbm,0.4804497829958125
CYSTGL,0.004013674814134609
ECOAH4m,0.0
OPAH,0.0
THRD_L,0.014113082067247859
HISTRSm,0.0
PTE7m,0.0
PLBPC_LS,0.0
LEUt7,0.0
ADHAPRer_LS,0.0
C22STDSer,0.0
SACCD2,0.014992594537322075
ASPTAp,0.0
PFK_3,0.050995791877013225
ILEt6,0.0
PROTRS,0.01873872333225921
ACOAO8p,0.0
FBP,0.0
NMNAT,8.545076716904238e-05
TRPO2,0.040892321798939896
BPNT,0.0
IPCS126g_LS,0.0
ALCD26xi,0.0
SHCHF,0.0
PUNP4,0.0
ATPATF2,0.0
MTHFC,0.038943296181791015
PI4P5Kn_LS,0.0
URIDK2rn,0.0
GALt2,0.0
UNK3,0.0002433475903514653
ORNDC,0.0006435491732738146
CHOLK,0.0
MIPC126PLCg_LS,0.0
IPPSm,0.026312941516185174
VALTRSm,0.0
ALLTN,0.0
NTPP11,0.0
PYDXPP,8.545076716904238e-05
SUCFUMtm,0.0
MTHFD2i,0.0
PTE10x,0.0
G3PIt,0.0
PPYRDC,0.0
ALR2,0.0
PC,0.20689329064695913
D_LACt2,0.0
GLYCt,0.0
GLYt2r,0.0
ADSK,0.0
PPCK,0.0
TCHOLAabcv,0.0
SHKK,0.019390643343464742
LYSTRS,0.014992594537322075
TAGL_LS,0.0
FRDcm,0.02501628656472462
HACD6p,0.0
4HGLSDm,0.0
MFAPSer_LS,0.0015440550029455706
ALDD20y,0.0
PDX5POi,0.0
GUAPRT,0.0
GLU5K,0.01873872333225921
MIPC224PLCg_LS,0.0
CHORM,0.016703353618201945
FACOAL80,0.0
FACOAL161,0.0
CYSTAm,0.0
ILEt2r,0.0
UGLT,0.0
ITCY,0.0
GLNt2r,0.0
ADD,0.0
DASYNm_LS,0.0001974954073535032
GF6PTA,0.0019019390065155486
DADA,0.0
NDPK1,0.1607653327082325
MIPC326PLCg_LS,0.0
CERS224er,0.0
MIP2C124PLCg_LS,0.0
ENO,1.3638683710220412
ACON3MT,0.0
HACD8p,0.0
HEX1,1.0
MCPST,0.0
ASNt2r,0.0
AHCi,0.0053099326874553945
ADPT2,0.0
ACOTAim,0.01337293611296445
IPCS324g_LS,0.0
NNMT,0.0
ACACT1m,0.0
HACD10p,0.0
DHORTS,-0.009202657588195329
ACACT8p,0.0
PFK,0.6725551427704621
MAN1PT,0.049561506301021734
IPC124PLCg_LS,0.0
PRDX,0.0
ACOAO6p,0.0
KARA1im,0.06341690825435317
SBTD_L,0.0
ALCD22yi,0.0
DNADDP,0.0
SUCOASm,-0.4043482841195044
THRS,0.03448365608808524
SBPP2er,0.0
UMPK,0.009202657588195329
PYDXK,0.0
ADPT,0.0
DNMPPA,0.0
MIP2C326PLCg_LS,0.0
ACOAO7p,0.0
FECOSTATer_LS,0.0
ACALDCD,0.0
AMETtm,0.0002966546374942487
CERH124er,0.0
PPA,0.6449001525789083
OMPDC,0.009202657588195329
LPCATer_LS,0.0
MI1456PKn,0.0
IPCS326g_LS,0.0
IPPS,0.0
XPPT,0.0
ECOAH4p,0.0
RBFKm,0.0
NDPK6,0.0
ICLp,0.0
NACt,0.0
FMNATm,0.0
IMACTD,0.0
ECOAH1m,0.0
FBA3,0.050995791877013225
IPPMIa,-0.026312941516185174
RNMK,8.545076716904238e-05
SLFAT,0.010006160548391017
GAT1er_LS,0.019857265502997688
THRTRS,0.020370574020837383
HPYRRy,0.0
3HAO,0.00010324023054221129
MIPCS124g_LS,0.0
NNAT,0.00010324023054221129
TRPS1,0.043191617193733205
PTE2m,0.0
PI45BPPn_LS,0.0
CSND,0.0
SERt2r,0.0
MALTt2,0.0
DPCOAK,4.723409240493803e-05
IPDDI,0.0022824943998363757
PI3P5Kn_LS,0.0
AMETt2m,0.00013618140927155326
GALT,0.0
POLYAO3,0.0
DUTCP,0.0
ALATA_Lm,0.00014832732423511463
C3STDH2er,0.001097356299767829
PSERDm_LS,0.002504600847801245
ACOAHim,0.0
GDPMANNtg,0.0
RNDR3,0.0
SPRMt2i,0.0
HYPOE,0.0
PUNP3,0.0
CYTDK1,0.0
IGPDH,0.005538388734838972
HMPK1,0.0
FACOAL240p,0.0
ACOAO9p,0.0
GLUTRSm,0.0
SO3ti,0.0
TRE6PS,0.001433708061934572
GALUi,0.10282665619041254
DPMVD,0.007119846018052233
CBPS,0.021932044527885965
DTTUP,0.0
FACOAL100,0.0
GLUTCOADHm,0.0
ZYMSTESTH_LS,0.0
KYN3OX,0.00010324023054221129
URIK3,0.0
CYSTS,0.004013674814134609
MAOX,0.0
NMNATm,0.0
ALCD24yi,0.0
FDH,0.042792780355547
NICRNS,0.0
MTAP,0.0002433475903514653
ASPTAm,0.0
CAT,0.0
SUCCtm,0.03421894415291995
ORPT,-0.009202657588195329
ATPATF3,0.0
CERS226er,0.0
URIK2,0.0
ICDHxm,0.4804497829958125
HPROa,0.0
ALLTNti,0.0
SLCBK1er,0.0
PFK26,0.0
DUTPDP,0.0
FAS100COA,0.05716127529160385
ECOAH8p,0.0
G3PCt,0.0
GLNt7,0.0
ASPt2r,0.0
PGI,0.6924134395444511
